strategy,ticket_date,leg_a,leg_b,combo_odds,is_hit,leg_a_league,leg_a_odds,leg_a_type,leg_b_league,leg_b_odds,leg_b_type,pnl
balanced_selector,2024-09-28,202409286001,202409290008,11.715,False,日职,3.3,draw,意甲,3.55,handicap_draw,-100.0
balanced_selector,2024-09-29,202409290011,202409290012,13.6576,False,西甲,3.52,draw,荷甲,3.88,handicap_draw,-100.0
balanced_selector,2024-10-05,202410056001,202410056002,10.89,False,日乙,3.3,draw,日职,3.3,draw,-100.0
balanced_selector,2024-10-06,202410060005,202410060006,10.85,False,西甲,3.1,draw,瑞超,3.5,draw,-100.0
balanced_selector,2024-10-20,202410200001,202410200003,11.34,False,日乙,3.15,draw,意甲,3.6,draw,-100.0
balanced_selector,2024-10-26,202410266001,202410266002,10.88,False,韩职,3.2,draw,澳超,3.4,draw,-100.0
balanced_selector,2024-11-02,202411026006,202411026009,13.26,False,意甲,3.4,draw,德甲,3.9,handicap_draw,-100.0
balanced_selector,2024-11-03,202411030002,202411030005,12.35,False,意甲,3.25,draw,英超,3.8,draw,-100.0
balanced_selector,2024-11-09,202411096007,202411100006,11.715,True,英超,3.3,draw,意甲,3.55,handicap_draw,1071.5
balanced_selector,2024-11-10,202411100004,202411100005,12.9575,False,日职,3.65,draw,韩职,3.55,draw,-100.0
balanced_selector,2024-11-22,202411236011,202411236020,11.375,False,意甲,3.5,handicap_draw,英超,3.25,draw,-100.0
balanced_selector,2024-11-23,202411236022,202411240001,10.647,False,英冠,3.38,draw,韩职,3.15,draw,-100.0
balanced_selector,2024-11-24,202411240002,202411240012,10.54,False,韩职,3.1,draw,意甲,3.4,draw,-100.0
balanced_selector,2024-11-30,202411306010,202411306014,10.85,True,英冠,3.5,draw,意甲,3.1,draw,985.0
balanced_selector,2024-12-01,202412010002,202412010021,13.5,False,澳超,3.75,draw,法甲,3.6,draw,-100.0
balanced_selector,2024-12-08,202412080007,202412080009,12.6025,True,意甲,3.55,handicap_draw,德乙,3.55,handicap_draw,1160.25
balanced_selector,2024-12-14,202412146008,202412146013,12.775,False,英冠,3.65,draw,意甲,3.5,handicap_draw,-100.0
balanced_selector,2024-12-21,202412220014,202412220023,13.2495,False,英超,3.65,handicap_draw,荷乙,3.63,handicap_draw,-100.0
balanced_selector,2024-12-26,202412264006,202412264012,11.47,False,英超,3.7,handicap_draw,英冠,3.1,draw,-100.0
balanced_selector,2024-12-29,202412290010,202412290011,11.39,False,英超,3.35,draw,英冠,3.4,draw,-100.0
balanced_selector,2025-01-04,202501046006,202501046015,10.752,False,法乙,3.36,draw,英冠,3.2,draw,-100.0
balanced_selector,2025-01-05,202501050001,202501050006,9.92,False,西国王杯,3.1,draw,法甲,3.2,draw,-100.0
balanced_selector,2025-01-10,202501105001,202501116005,12.064,False,澳超,3.77,draw,英足总杯,3.2,draw,-100.0
balanced_selector,2025-01-18,202501190002,202501190007,10.08,False,意甲,3.15,draw,英超,3.2,draw,-100.0
balanced_selector,2025-01-25,202501256004,202501256013,11.5575,False,意甲,3.45,draw,英超,3.35,draw,-100.0
balanced_selector,2025-02-08,202502086009,202502090002,11.375,False,英足总杯,3.25,draw,意甲,3.5,draw,-100.0
balanced_selector,2025-02-14,202502145002,202502156007,11.36,False,日职,3.2,draw,意甲,3.55,handicap_draw,-100.0
balanced_selector,2025-02-15,202502156001,202502156011,13.167,False,日职,3.42,draw,英超,3.85,handicap_draw,-100.0
balanced_selector,2025-02-22,202502226012,202502230008,12.88,False,英超,3.5,handicap_draw,荷甲,3.68,handicap_draw,-100.0
balanced_selector,2025-02-23,202502230004,202502230011,10.304,False,韩职,3.2,draw,法甲,3.22,draw,-100.0
balanced_selector,2025-03-01,202503016003,202503016005,11.2125,False,韩职,3.25,draw,日职,3.45,draw,-100.0
balanced_selector,2025-03-02,202503020001,202503020003,11.2,False,日职,3.2,draw,韩职,3.5,draw,-100.0
balanced_selector,2025-03-08,202503086007,202503090009,12.42,False,德乙,3.45,draw,荷甲,3.6,handicap_draw,-100.0
balanced_selector,2025-03-09,202503090002,202503090007,10.54,False,日乙,3.1,draw,意甲,3.4,draw,-100.0
balanced_selector,2025-03-15,202503156016,202503156020,10.773,False,英超,3.42,draw,英冠,3.15,draw,-100.0
balanced_selector,2025-03-16,202503160001,202503160019,10.758,True,日职,3.26,draw,荷甲,3.3,draw,975.8
balanced_selector,2025-03-26,202503263005,202503263007,11.78,False,日联赛杯,3.1,draw,日联赛杯,3.8,draw,-100.0
balanced_selector,2025-03-28,202503285001,202503296003,10.66,False,日职,3.25,draw,韩职,3.28,draw,-100.0
